date,temperature,weather,wind,humidity,barometer,visibility,time
2021-01-10,21,Passing clouds.,6 km/h,96,1012 mbar,6,19:00
2021-01-10,21,Light rain. Passing clouds.,No wind,98,1014 mbar,4,22:00
2021-01-11,20,Fog.,No wind,98,1013 mbar,4,04:00
2021-01-11,20,Fog.,No wind,98,1013 mbar,3,07:00
2021-01-11,26,Partly sunny.,17 km/h,69,1014 mbar,10,10:00
2021-01-11,27,Partly sunny.,22 km/h,67,1012 mbar,10,13:00
2021-01-11,26,Overcast.,28 km/h,73,1010 mbar,10,16:00
2021-01-11,23,Overcast.,19 km/h,87,1013 mbar,8,19:00
2021-01-11,22,Overcast.,6 km/h,95,1015 mbar,5,22:00
2021-01-12,22,Passing clouds.,No wind,90,1014 mbar,6,01:00
2021-01-12,21,Overcast.,7 km/h,91,1012 mbar,6,04:00
2021-01-12,22,Scattered clouds.,7 km/h,96,1014 mbar,7,07:00
2021-01-12,26,Scattered clouds.,19 km/h,70,1014 mbar,8,10:00
2021-01-12,28,Partly sunny.,26 km/h,66,1012 mbar,10,13:00
2021-01-12,21,Thundershowers. Overcast.,19 km/h,98,1012 mbar,1,16:00
2021-01-12,21,Light rain. Overcast.,No wind,98,1014 mbar,6,19:00
2021-01-12,22,Passing clouds.,15 km/h,86,1015 mbar,6,22:00
2021-01-13,22,Scattered clouds.,7 km/h,78,1014 mbar,10,07:00
2021-01-13,25,Scattered clouds.,17 km/h,67,1015 mbar,10,10:00
2021-01-13,27,Partly sunny.,22 km/h,61,1013 mbar,10,13:00
2021-01-13,24,Partly sunny.,19 km/h,77,1012 mbar,6,16:00
2021-01-13,21,Light rain. Overcast.,11 km/h,98,1015 mbar,3,19:00
2021-01-13,21,Passing clouds.,No wind,96,1016 mbar,5,22:00
2021-01-14,20,Fog.,No wind,96,1015 mbar,4,01:00
2021-01-14,21,Fog.,No wind,96,1015 mbar,2,07:00
2021-01-14,25,Partly sunny.,17 km/h,76,1016 mbar,6,10:00
2021-01-14,24,Overcast.,19 km/h,81,1015 mbar,8,13:00
2021-01-14,22,Overcast.,19 km/h,95,1015 mbar,5,19:00
2021-01-15,21,Overcast.,9 km/h,94,1015 mbar,3,01:00
2021-01-15,21,Overcast.,No wind,97,1014 mbar,3,04:00
2021-01-15,21,Fog.,No wind,96,1015 mbar,3,07:00
2021-01-15,24,Overcast.,11 km/h,73,1016 mbar,5,10:00
2021-01-15,27,Overcast.,11 km/h,47,1014 mbar,10,13:00
2021-01-15,N/A,Passing clouds.,111 km/h,N/A,1013 mbar,10,16:00
2021-01-15,24,Passing clouds.,13 km/h,81,1014 mbar,7,19:00
2021-01-15,22,Passing clouds.,7 km/h,88,1015 mbar,6,22:00
2021-01-16,19,Scattered clouds.,6 km/h,92,1014 mbar,6,07:00
2021-01-16,25,Partly sunny.,11 km/h,61,1014 mbar,6,10:00
2021-01-16,29,Partly sunny.,9 km/h,54,1012 mbar,5,13:00
2021-01-16,26,Overcast.,32 km/h,71,1010 mbar,5,16:00
2021-01-16,21,Passing clouds.,6 km/h,95,1013 mbar,6,19:00
2021-01-16,21,Passing clouds.,6 km/h,96,1014 mbar,6,22:00
2021-01-17,20,Fog.,No wind,96,1014 mbar,3,01:00
2021-01-17,20,Fog.,7 km/h,96,1014 mbar,3,04:00
2021-01-17,20,Fog.,No wind,98,1014 mbar,2,07:00
2021-01-17,25,Partly sunny.,19 km/h,70,1014 mbar,8,10:00
2021-01-17,28,Partly sunny.,22 km/h,N/A,N/A,10,13:00
2021-01-17,26,Partly sunny.,15 km/h,70,1011 mbar,8,16:00
2021-01-17,24,Passing clouds.,20 km/h,80,1013 mbar,7,19:00
2021-01-17,23,Passing clouds.,13 km/h,77,1015 mbar,8,22:00
2021-01-18,21,Passing clouds.,13 km/h,83,1013 mbar,7,04:00
2021-01-18,22,Partly sunny.,9 km/h,82,1014 mbar,10,07:00
2021-01-18,25,Scattered clouds.,28 km/h,71,1015 mbar,10,10:00
2021-01-18,27,Partly sunny.,37 km/h,66,1013 mbar,8,13:00
2021-01-18,22,Light rain. Passing clouds.,11 km/h,95,1014 mbar,2,19:00
2021-01-18,21,Passing clouds.,20 km/h,91,1015 mbar,6,22:00
2021-01-19,19,Fog.,13 km/h,96,1015 mbar,5,07:00
2021-01-19,21,Fog.,11 km/h,90,1015 mbar,5,10:00
2021-01-19,23,Overcast.,19 km/h,78,1014 mbar,6,13:00
2021-01-19,22,Overcast.,17 km/h,83,1013 mbar,5,16:00
2021-01-19,22,Overcast.,11 km/h,87,1014 mbar,5,19:00
2021-01-19,21,Passing clouds.,13 km/h,95,1016 mbar,4,22:00
2021-01-20,20,Light rain. Passing clouds.,No wind,98,1014 mbar,2,04:00
2021-01-20,20,Light rain. Overcast.,6 km/h,98,1015 mbar,2,07:00
2021-01-20,23,Overcast.,15 km/h,90,1016 mbar,5,10:00
2021-01-20,23,Overcast.,22 km/h,87,1014 mbar,7,13:00
2021-01-20,24,Overcast.,19 km/h,81,1013 mbar,7,16:00
2021-01-20,22,Overcast.,15 km/h,87,1015 mbar,5,19:00
2021-01-20,22,Overcast.,7 km/h,95,1017 mbar,5,22:00
2021-01-21,21,Overcast.,No wind,95,1014 mbar,3,04:00
2021-01-21,21,Fog.,No wind,96,1015 mbar,3,07:00
2021-01-21,24,Overcast.,13 km/h,80,1016 mbar,5,10:00
2021-01-21,26,Partly sunny.,28 km/h,76,1014 mbar,7,13:00
2021-01-21,23,Thunderstorms. Overcast.,13 km/h,87,1012 mbar,5,16:00
2021-01-21,21,Passing clouds.,9 km/h,96,1014 mbar,4,19:00
2021-01-21,22,Fog.,6 km/h,96,1016 mbar,3,22:00
2021-01-22,20,Fog.,No wind,97,1014 mbar,4,04:00
2021-01-22,21,Fog.,6 km/h,98,1015 mbar,3,07:00
2021-01-22,26,Partly sunny.,19 km/h,60,1016 mbar,5,10:00
2021-01-22,27,Partly sunny.,15 km/h,57,1013 mbar,10,13:00
2021-01-22,25,Partly sunny.,15 km/h,65,1012 mbar,7,16:00
2021-01-22,23,Thundershowers. Overcast.,9 km/h,77,1014 mbar,6,19:00
2021-01-22,21,Passing clouds.,No wind,91,1016 mbar,5,22:00
2021-01-23,20,Passing clouds.,No wind,94,1015 mbar,5,01:00
2021-01-23,20,Fog.,No wind,98,1013 mbar,4,04:00
2021-01-23,20,Partly sunny.,No wind,87,1014 mbar,6,07:00
2021-01-23,25,Partly sunny.,11 km/h,73,1015 mbar,7,10:00
2021-01-23,27,Partly sunny.,19 km/h,57,1013 mbar,10,13:00
2021-01-23,26,Overcast.,9 km/h,65,1012 mbar,5,16:00
2021-01-23,23,Overcast.,15 km/h,83,1014 mbar,5,19:00
2021-01-23,22,Overcast.,7 km/h,92,1016 mbar,5,22:00
2021-01-24,21,Fog.,No wind,95,1014 mbar,3,04:00
2021-01-24,22,Fog.,No wind,95,1015 mbar,2,07:00
2021-01-24,25,Overcast.,6 km/h,77,1016 mbar,3,10:00
2021-01-24,25,Overcast.,28 km/h,80,1014 mbar,5,13:00
2021-01-24,22,Overcast.,20 km/h,86,1013 mbar,5,16:00
2021-01-24,21,Passing clouds.,No wind,92,1014 mbar,6,19:00
2021-01-24,21,Fog.,7 km/h,94,1016 mbar,3,22:00
2021-01-25,21,Scattered clouds.,No wind,92,1016 mbar,3,07:00
2021-01-25,26,Scattered clouds.,13 km/h,70,1016 mbar,6,10:00
2021-01-25,28,Overcast.,22 km/h,63,1014 mbar,6,13:00
2021-01-25,25,Thunderstorms. Overcast.,13 km/h,69,1012 mbar,6,16:00
2021-01-25,21,Thundershowers. Overcast.,No wind,94,1015 mbar,4,19:00
2021-01-25,21,Fog.,No wind,98,1016 mbar,3,22:00
2021-01-26,21,Fog.,No wind,98,1014 mbar,3,04:00
2021-01-26,21,Fog.,No wind,98,1014 mbar,2,07:00
2021-01-26,25,Partly sunny.,7 km/h,73,1015 mbar,7,10:00
2021-01-26,27,Scattered clouds.,22 km/h,70,1013 mbar,10,13:00
2021-01-26,24,Overcast.,19 km/h,75,1011 mbar,7,16:00
2021-01-26,21,Light rain. Overcast.,7 km/h,94,1014 mbar,5,19:00
2021-01-26,22,Overcast.,15 km/h,90,1014 mbar,6,22:00
2021-01-27,21,Light rain. Overcast.,7 km/h,91,1013 mbar,4,04:00
2021-01-27,21,Overcast.,19 km/h,89,1014 mbar,10,07:00
2021-01-27,23,Overcast.,19 km/h,76,1014 mbar,10,10:00
2021-01-27,25,Overcast.,19 km/h,75,1013 mbar,10,13:00
2021-01-27,24,Partly sunny.,19 km/h,73,1012 mbar,10,16:00
2021-01-27,22,Passing clouds.,17 km/h,78,1013 mbar,7,19:00
2021-01-27,22,Passing clouds.,7 km/h,79,1015 mbar,7,22:00
2021-01-28,21,Overcast.,13 km/h,87,1013 mbar,6,04:00
2021-01-28,22,Partly sunny.,13 km/h,86,1014 mbar,7,07:00
2021-01-28,26,Partly sunny.,15 km/h,69,1014 mbar,10,10:00
2021-01-28,26,Partly sunny.,28 km/h,68,1012 mbar,10,13:00
2021-01-28,22,Light rain. Overcast.,15 km/h,92,1012 mbar,6,16:00
2021-01-28,21,Overcast.,15 km/h,93,1013 mbar,7,19:00
2021-01-28,21,Overcast.,7 km/h,89,1015 mbar,6,22:00
2021-01-29,20,Overcast.,19 km/h,94,1014 mbar,7,07:00
2021-01-29,21,Overcast.,19 km/h,95,1015 mbar,7,10:00
2021-01-29,23,Overcast.,15 km/h,80,1014 mbar,10,13:00
2021-01-29,24,Overcast.,19 km/h,84,1012 mbar,6,16:00
2021-01-29,20,Overcast.,13 km/h,95,1014 mbar,7,19:00
2021-01-29,21,Overcast.,9 km/h,86,1015 mbar,7,22:00
2021-01-30,20,Overcast.,9 km/h,95,1015 mbar,6,01:00
2021-01-30,20,Overcast.,No wind,88,1013 mbar,6,04:00
2021-01-30,20,Overcast.,19 km/h,89,1014 mbar,8,07:00
2021-01-30,21,Light rain. Overcast.,11 km/h,96,1015 mbar,4,10:00
2021-01-30,23,Overcast.,24 km/h,80,1014 mbar,7,13:00
2021-01-30,23,Overcast.,20 km/h,86,1013 mbar,7,16:00
2021-01-30,21,Overcast.,11 km/h,96,1014 mbar,6,19:00
2021-01-30,21,Overcast.,7 km/h,96,1016 mbar,5,22:00
2021-01-31,21,Fog.,26 km/h,96,1016 mbar,3,07:00
2021-01-31,24,Overcast.,22 km/h,81,1016 mbar,5,10:00
2021-01-31,24,Overcast.,28 km/h,77,1015 mbar,7,13:00
2021-01-31,23,Overcast.,28 km/h,81,1014 mbar,7,16:00
2021-01-31,22,Passing clouds.,9 km/h,88,1015 mbar,7,19:00
2021-01-31,21,Passing clouds.,9 km/h,91,1017 mbar,6,22:00
2021-02-01,21,Partly sunny.,11 km/h,91,1016 mbar,5,07:00
2021-02-01,26,Scattered clouds.,22 km/h,70,1017 mbar,8,10:00
2021-02-01,27,Partly sunny.,22 km/h,65,1015 mbar,10,13:00
2021-02-01,25,Partly sunny.,19 km/h,73,1013 mbar,8,16:00
2021-02-01,21,Light rain. Overcast.,19 km/h,97,1015 mbar,3,19:00
2021-02-01,20,Overcast.,7 km/h,95,1016 mbar,5,22:00
2021-02-02,20,Overcast.,13 km/h,94,1014 mbar,6,04:00
2021-02-02,21,Overcast.,13 km/h,96,1015 mbar,5,07:00
2021-02-02,24,Overcast.,22 km/h,83,1016 mbar,6,10:00
2021-02-02,26,Partly sunny.,30 km/h,68,1014 mbar,10,13:00
2021-02-02,25,Overcast.,24 km/h,75,1012 mbar,8,16:00
2021-02-02,21,Light rain. Overcast.,11 km/h,94,1015 mbar,6,19:00
2021-02-02,22,Passing clouds.,7 km/h,93,1016 mbar,6,22:00
2021-02-03,21,Passing clouds.,11 km/h,96,1015 mbar,6,04:00
2021-02-03,20,Overcast.,11 km/h,98,1016 mbar,6,07:00
2021-02-03,24,Partly sunny.,22 km/h,78,1016 mbar,10,10:00
2021-02-03,25,Overcast.,19 km/h,76,1014 mbar,10,13:00
2021-02-03,24,Overcast.,32 km/h,79,1013 mbar,8,16:00
2021-02-03,22,Overcast.,13 km/h,91,1016 mbar,5,19:00
2021-02-03,21,Overcast.,9 km/h,94,1017 mbar,6,22:00
2021-02-04,21,Partly sunny.,9 km/h,95,1015 mbar,5,07:00
2021-02-04,24,Partly sunny.,17 km/h,100,N/A,8,10:00
2021-02-04,24,Overcast.,24 km/h,74,1014 mbar,8,13:00
2021-02-04,24,Partly sunny.,22 km/h,N/A,N/A,7,16:00
2021-02-04,20,Passing clouds.,15 km/h,87,1015 mbar,7,19:00
2021-02-04,20,Passing clouds.,6 km/h,89,1016 mbar,7,22:00
2021-02-05,20,Fog.,11 km/h,92,1015 mbar,3,07:00
2021-02-05,23,Overcast.,15 km/h,93,1016 mbar,5,10:00
2021-02-05,25,Partly sunny.,32 km/h,69,1014 mbar,8,13:00
2021-02-05,25,Partly sunny.,26 km/h,71,1012 mbar,8,16:00
2021-02-05,22,Overcast.,19 km/h,91,1014 mbar,5,19:00
2021-02-05,22,Passing clouds.,15 km/h,85,1015 mbar,7,22:00
2021-02-06,21,Overcast.,9 km/h,94,1013 mbar,5,04:00
2021-02-06,21,Overcast.,28 km/h,96,1014 mbar,5,07:00
2021-02-06,24,Overcast.,22 km/h,81,1015 mbar,6,10:00
2021-02-06,26,Partly sunny.,28 km/h,70,1013 mbar,8,13:00
2021-02-06,25,Overcast.,30 km/h,70,1011 mbar,7,16:00
2021-02-06,23,Passing clouds.,9 km/h,83,1013 mbar,6,19:00
2021-02-06,22,Passing clouds.,6 km/h,91,1014 mbar,6,22:00
2021-02-07,21,Passing clouds.,No wind,94,1012 mbar,4,04:00
2021-02-07,21,Light rain. Overcast.,No wind,98,1014 mbar,5,07:00
2021-02-07,23,Partly sunny.,11 km/h,88,1015 mbar,6,10:00
2021-02-07,24,Overcast.,17 km/h,90,1013 mbar,6,13:00
2021-02-07,22,Light rain. Overcast.,11 km/h,97,1011 mbar,4,16:00
2021-02-07,21,Overcast.,7 km/h,94,1013 mbar,5,19:00
2021-02-07,21,Overcast.,9 km/h,94,1015 mbar,5,22:00
2021-02-08,21,Fog.,9 km/h,98,1015 mbar,4,01:00
2021-02-08,21,Light rain. Overcast.,15 km/h,98,1012 mbar,2,04:00
2021-02-08,21,Light rain. Overcast.,35 km/h,98,1013 mbar,4,07:00
2021-02-08,24,Partly sunny.,17 km/h,82,1015 mbar,8,10:00
2021-02-08,27,Partly sunny.,24 km/h,62,1013 mbar,10,13:00
2021-02-08,25,Partly sunny.,19 km/h,72,1012 mbar,8,16:00
2021-02-08,23,Passing clouds.,13 km/h,78,1013 mbar,8,19:00
2021-02-08,21,Passing clouds.,11 km/h,98,1014 mbar,6,22:00
2021-02-09,21,Partly sunny.,15 km/h,96,1014 mbar,6,07:00
2021-02-09,26,Overcast.,22 km/h,73,1015 mbar,7,10:00
2021-02-09,26,Overcast.,22 km/h,70,1013 mbar,10,13:00
2021-02-09,23,Light rain. Overcast.,15 km/h,92,1012 mbar,4,16:00
2021-02-09,23,Overcast.,7 km/h,92,1013 mbar,5,19:00
2021-02-09,22,Passing clouds.,7 km/h,96,1014 mbar,5,22:00
2021-02-10,21,Passing clouds.,No wind,96,1013 mbar,5,04:00
2021-02-10,21,Overcast.,No wind,96,1014 mbar,6,07:00
2021-02-10,25,Partly sunny.,11 km/h,74,1015 mbar,8,10:00
2021-02-10,24,Overcast.,20 km/h,85,1014 mbar,6,13:00
2021-02-10,25,Partly sunny.,26 km/h,73,1012 mbar,7,16:00
2021-02-10,23,Passing clouds.,9 km/h,83,1013 mbar,7,19:00
2021-02-10,23,Passing clouds.,6 km/h,93,1015 mbar,6,22:00
2021-02-11,21,Passing clouds.,No wind,95,1014 mbar,6,01:00
2021-02-11,20,Passing clouds.,No wind,96,1012 mbar,6,04:00
2021-02-11,20,Scattered clouds.,No wind,93,1014 mbar,8,07:00
2021-02-11,27,Scattered clouds.,20 km/h,62,1015 mbar,7,10:00
2021-02-11,28,Partly sunny.,28 km/h,59,1013 mbar,10,13:00
2021-02-11,29,Partly sunny.,24 km/h,52,1012 mbar,10,16:00
2021-02-11,24,Passing clouds.,13 km/h,86,1013 mbar,6,19:00
2021-02-11,23,Passing clouds.,7 km/h,80,1015 mbar,6,22:00
2021-02-12,22,Passing clouds.,9 km/h,84,1014 mbar,7,04:00
2021-02-12,22,Scattered clouds.,6 km/h,81,1015 mbar,8,07:00
2021-02-12,29,Scattered clouds.,11 km/h,54,1016 mbar,10,10:00
2021-02-12,28,Partly sunny.,15 km/h,56,1014 mbar,10,13:00
2021-02-12,28,Partly sunny.,28 km/h,63,1012 mbar,10,16:00
2021-02-12,24,Passing clouds.,19 km/h,81,1014 mbar,7,19:00
2021-02-12,23,Passing clouds.,19 km/h,85,1017 mbar,7,22:00
2021-02-13,21,Fog.,No wind,99,1017 mbar,3,07:00
2021-02-13,25,Overcast.,19 km/h,76,1018 mbar,7,10:00
2021-02-13,27,Scattered clouds.,19 km/h,66,1016 mbar,8,13:00
2021-02-13,28,Partly sunny.,24 km/h,61,1013 mbar,8,16:00
2021-02-13,23,Passing clouds.,9 km/h,86,1015 mbar,7,19:00
2021-02-13,22,Passing clouds.,15 km/h,90,1018 mbar,5,22:00
2021-02-14,21,Passing clouds.,7 km/h,93,1016 mbar,3,04:00
2021-02-14,21,Fog.,7 km/h,96,1017 mbar,2,07:00
2021-02-14,26,Partly sunny.,13 km/h,70,1017 mbar,5,10:00
2021-02-14,28,Partly sunny.,30 km/h,59,1015 mbar,6,13:00
2021-02-14,25,Partly sunny.,28 km/h,77,1014 mbar,6,16:00
2021-02-14,23,Passing clouds.,6 km/h,86,1015 mbar,6,19:00
2021-02-14,22,Overcast.,9 km/h,95,1017 mbar,5,22:00
2021-02-15,20,Passing clouds.,No wind,96,1015 mbar,5,04:00
2021-02-15,21,Fog.,No wind,96,1016 mbar,3,07:00
2021-02-15,24,Overcast.,17 km/h,80,1016 mbar,4,10:00
2021-02-15,28,Partly sunny.,24 km/h,62,1014 mbar,5,13:00
2021-02-15,27,Overcast.,26 km/h,65,1012 mbar,5,16:00
2021-02-15,23,Thunderstorms. Passing clouds.,11 km/h,77,1014 mbar,5,19:00
2021-02-15,21,Passing clouds.,No wind,90,1016 mbar,5,22:00
2021-02-16,21,Passing clouds.,6 km/h,88,1015 mbar,5,01:00
2021-02-16,21,Fog.,No wind,98,1015 mbar,2,07:00
2021-02-16,24,Overcast.,9 km/h,85,1016 mbar,3,10:00
2021-02-16,26,Partly sunny.,19 km/h,69,1014 mbar,8,13:00
2021-02-16,25,Partly sunny.,24 km/h,76,1012 mbar,8,16:00
2021-02-16,23,Passing clouds.,13 km/h,85,1014 mbar,6,19:00
2021-02-16,22,Fog.,15 km/h,94,1016 mbar,5,22:00
2021-02-17,22,Passing clouds.,11 km/h,94,1014 mbar,5,04:00
2021-02-17,22,Overcast.,11 km/h,80,1016 mbar,10,07:00
2021-02-17,24,Overcast.,7 km/h,69,1017 mbar,10,10:00
2021-02-17,25,Overcast.,19 km/h,67,1015 mbar,10,13:00
2021-02-17,25,Overcast.,11 km/h,68,1013 mbar,10,16:00
2021-02-17,24,Overcast.,7 km/h,72,1015 mbar,8,19:00
2021-02-17,23,Overcast.,19 km/h,81,1016 mbar,8,22:00
2021-02-18,22,Passing clouds.,7 km/h,80,1014 mbar,8,04:00
2021-02-18,22,Scattered clouds.,20 km/h,81,1015 mbar,10,07:00
2021-02-18,26,Overcast.,19 km/h,63,1016 mbar,10,10:00
2021-02-18,26,Partly sunny.,17 km/h,69,1014 mbar,10,13:00
2021-02-18,22,Light rain. Overcast.,28 km/h,91,1012 mbar,5,16:00
2021-02-18,20,Light rain. Overcast.,20 km/h,93,1015 mbar,5,19:00
2021-02-18,20,Overcast.,No wind,96,1017 mbar,6,22:00
2021-02-19,20,Passing clouds.,No wind,98,1014 mbar,5,04:00
2021-02-19,20,Fog.,9 km/h,99,1016 mbar,3,07:00
2021-02-19,20,Light rain. Overcast.,15 km/h,96,1017 mbar,5,10:00
2021-02-19,22,Overcast.,26 km/h,84,1016 mbar,5,13:00
2021-02-19,22,Overcast.,20 km/h,88,1014 mbar,5,16:00
2021-02-19,21,Overcast.,9 km/h,94,1015 mbar,5,19:00
2021-02-19,21,Overcast.,9 km/h,95,1017 mbar,5,22:00
2021-02-20,20,Light rain. Overcast.,6 km/h,98,1015 mbar,3,04:00
2021-02-20,20,Light rain. Overcast.,6 km/h,98,1016 mbar,3,07:00
2021-02-20,21,Light rain. Overcast.,20 km/h,100,1017 mbar,5,10:00
2021-02-20,23,Overcast.,28 km/h,83,1015 mbar,8,13:00
2021-02-20,24,Partly sunny.,20 km/h,68,1014 mbar,8,16:00
2021-02-20,21,Passing clouds.,9 km/h,91,1016 mbar,7,19:00
2021-02-20,20,Passing clouds.,No wind,94,1018 mbar,7,22:00
2021-02-21,20,Light rain. Overcast.,No wind,99,1016 mbar,2,04:00
2021-02-21,20,Light rain. Overcast.,13 km/h,99,1017 mbar,2,07:00
2021-02-21,22,Overcast.,15 km/h,91,1018 mbar,7,10:00
2021-02-21,27,Scattered clouds.,26 km/h,71,1015 mbar,10,13:00
2021-02-21,25,Partly sunny.,24 km/h,73,1013 mbar,10,16:00
2021-02-21,22,Passing clouds.,11 km/h,91,1015 mbar,7,19:00
2021-02-21,22,Overcast.,9 km/h,90,1017 mbar,7,22:00
2021-02-22,20,Passing clouds.,No wind,94,1015 mbar,5,04:00
2021-02-22,20,Fog.,No wind,98,1016 mbar,3,07:00
2021-02-22,27,Partly sunny.,15 km/h,64,1016 mbar,8,10:00
2021-02-22,28,Partly sunny.,19 km/h,59,1014 mbar,8,13:00
2021-02-22,28,Partly sunny.,19 km/h,63,1012 mbar,7,16:00
2021-02-22,24,Thunderstorms. Overcast.,17 km/h,86,1015 mbar,5,19:00
2021-02-22,22,Passing clouds.,6 km/h,94,1016 mbar,5,22:00
2021-02-23,20,Passing clouds.,7 km/h,88,1013 mbar,5,04:00
2021-02-23,21,Scattered clouds.,7 km/h,79,1014 mbar,7,07:00
2021-02-23,27,Scattered clouds.,11 km/h,57,1014 mbar,10,10:00
2021-02-23,29,Partly sunny.,28 km/h,51,1012 mbar,10,13:00
2021-02-23,26,Overcast.,19 km/h,63,1011 mbar,7,16:00
2021-02-23,24,Passing clouds.,11 km/h,67,1013 mbar,6,19:00
2021-02-24,22,Passing clouds.,11 km/h,84,1013 mbar,7,01:00
2021-02-24,23,Partly sunny.,17 km/h,83,1014 mbar,8,10:00
2021-02-24,25,Partly sunny.,19 km/h,71,1011 mbar,10,13:00
2021-02-24,24,Partly sunny.,20 km/h,76,1009 mbar,10,16:00
2021-02-24,22,Passing clouds.,30 km/h,81,1010 mbar,10,19:00
2021-02-24,22,Passing clouds.,11 km/h,85,1013 mbar,10,22:00
2021-02-25,20,Light rain. Overcast.,22 km/h,99,1010 mbar,5,04:00
